isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,text,polarity,subjectivity,len
9780375726217,0375726217,Double Fold,Libraries and the Assault on Paper,Nicholson Baker,Language Arts & Disciplines,http://books.google.com/books/content?id=TvLgmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Describes how libraries across the United States have dismantled collections of original bound newspapers and brittle books to replace them with microfilmed copies, exploring the hidden reasons for such policies.",2002.0,3.42,370.0,826.0,double fold describe libraries across unite state dismantle collections original bind newspapers brittle replace microfilm copy explore hide reason policies,0.1875,0.375,156
9780375727382,0375727388,"Salonica, City of Ghosts","Christians, Muslims, and Jews, 1430-1950",Mark Mazower,History,http://books.google.com/books/content?id=c8agAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A vivid narrative history captures the multicultural world of Salonica, from its heyday as a Byzantine port, through its role as a progressive center of the Ottoman Empire, to its occupation during World War II by the Nazis, revealing how its position as a center of progressive equality among diverse cultures and religions was gradually eroded, culminating in the Nazis' destruction of its Jewish inhabitants. Reprint. 15,000 first printing.",2006.0,4.25,544.0,703.0,salonica city ghost vivid narrative history capture multicultural world salonica heyday byzantine port role progressive center ottoman empire occupation world war nazis reveal position center progressive equality among diverse culture religions gradually erode culminate nazis destruction jewish inhabitants reprint first print,0.034999999999999996,0.25666666666666665,327
9780375752193,0375752196,In Search of Lost Time: Time regained & A guide to Proust,,Marcel Proust,France,,"The only paperback edition of the definitive translation of the first part of Marcel Proust's legendary seven-part cycle. In part one, the narrator recalls his childhood, aided by the famous tea-soaked madeleine; M. Swann describes his passion for Odette.",1998.0,4.41,749.0,964.0,search lose regain guide proust paperback edition definitive translation first part marcel prousts legendary seven part cycle part one narrator recall childhood aid famous tea soak madeleine swann describe passion odette,0.5833333333333334,0.7777777777777777,220
9780375752674,0375752676,Iceland,Land of the Sagas,David Roberts;Jon Krakauer,Travel,http://books.google.com/books/content?id=-VAEAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Photographs exploring the grandeur of Iceland's remarkable geography accompany tales of real-life heroes and supernatural beings,1998.0,3.7199999999999998,160.0,315.0,iceland photograph explore grandeur icelands remarkable geography accompany tales real life heroes supernatural,0.37222222222222223,0.5388888888888889,111
9780375755194,0375755195,Sailing Alone Around the Room,New and Selected Poems,Billy Collins,Poetry,http://books.google.com/books/content?id=kdzOR4LI17gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Offers a collection of witty, emotional, and direct poems by the popular and critically acclaimed poet, including selections from his four previous collections and new works such as ""Man Listening to a Disc,"" about headphones.",2001.0,4.23,192.0,11894.0,sail alone around room offer collection witty emotional direct poems popular critically acclaim poet include selections four previous collections work man listen disc headphones,0.1722222222222222,0.6527777777777778,177
9780375755200,0375755209,Nine Horses,Poems,Billy Collins,Poetry,http://books.google.com/books/content?id=wZRBDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A collection of poems offers reflections on the mystery and beauty found in everyday life.,2003.0,4.17,144.0,4048.0,nine horse collection poems offer reflections mystery beauty find everyday life,-0.2,0.6,79
9780375755217,0375755217,The Trouble With Poetry,And Other Poems,Billy Collins,Poetry,http://books.google.com/books/content?id=dtMhdlM_q48C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An all-new collection of poetry by America's former Poet Laureate features witty, insightful, and simple poems dealing with the themes of jazz, the passage of time, love, boyhood, and writing. Reprint. 50,000 first printing.",2007.0,4.17,101.0,5327.0,trouble poetry collection poetry americas former poet laureate feature witty insightful simple poems deal theme jazz passage love boyhood write reprint first print,0.17500000000000002,0.4150793650793651,163
9780375757990,0375757996,The Basic Works of Aristotle,,Aristotle,Philosophy,http://books.google.com/books/content?id=ykGPjLgScUEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Examines the pervading influence of this eminent Greek philosopher through a collection of his major works.,2001.0,4.24,1487.0,2116.0,basic work aristotle examine pervade influence eminent greek philosopher collection major work,0.020833333333333332,0.20833333333333334,94
9780375758232,0375758232,Paris to the Moon,,Adam Gopnik,Biography & Autobiography,http://books.google.com/books/content?id=jSqtt5RuP6wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Revisiting a recurring American obsession with the French capital, the author takes a look at Paris and what it means to Americans as he describes his own relationship with the city.",2001.0,3.76,368.0,12094.0,paris moon revisit recur american obsession french capital author take look paris mean americans describe relationship city,-0.10416666666666667,0.22916666666666666,123
9780375758737,0375758739,Comfort Me With Apples,More Adventures at the Table,Ruth Reichl,Biography & Autobiography,http://books.google.com/books/content?id=keNpY0wUmocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The noted food critic describes her odyssey from chef to food writer, traces her journey through restaurants from Bangkok to Paris to Los Angeles, and offers colorful anecdotes about her life and encounters with great food.",2002.0,4.03,302.0,17418.0,comfort apples note food critic describe odyssey chef food writer trace journey restaurants bangkok paris los angeles offer colorful anecdotes life encounter great food,0.55,0.575,168
